"record_id","paper_id","final_decision","metric","value","unit","uncertainty_type","uncertainty","sample_size","sample_unit","assay_transfer","allocation","reason","provenance","reviewer","review_date","notes_vi"
"chen_2014_asyn_a30p_day15","chen_2014_asyn_a30p_day15","PENDING_HUMAN_SIGNOFF","mean_walking_velocity_cm_s","","cm/s","CI95","","23","fly","TRANSFER_REVIEW_REQUIRED","calibration_candidate","Figure 4 contains quantitative walking velocity and reports mean plus/minus 95 percent confidence interval, but exact bar values are figure-only and have not been digitized and second-reviewed.","https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/","Tuan Le","2026-08-30","Potentially strong adult walking candidate. Do not enter a numeric value or convert cm/s until documented digitization and unit-transfer review."
"chen_2014_asyn_a30p_day30","chen_2014_asyn_a30p_day30","PENDING_HUMAN_SIGNOFF","mean_walking_velocity_cm_s","","cm/s","CI95","","20","fly","TRANSFER_REVIEW_REQUIRED","calibration_candidate","Figure 4 contains quantitative walking velocity and reports mean plus/minus 95 percent confidence interval, but exact bar values are figure-only and have not been digitized and second-reviewed.","https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/","Tuan Le","2026-08-30","Old A30P phenotype is relevant to walking, but no numeric target is entered without reviewed digitization."
"chen_2014_control_day15","chen_2014_control_day15","CONTEXT_ONLY","mean_walking_velocity_cm_s","","cm/s","CI95","","23","fly","NOT_COMPARABLE","calibration_support","Age-matched control panel for the A30P comparison; exact figure values require reviewed digitization.","https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/","Tuan Le","2026-08-30","Context only."
"chen_2014_control_day30","chen_2014_control_day30","CONTEXT_ONLY","mean_walking_velocity_cm_s","","cm/s","CI95","","20","fly","NOT_COMPARABLE","calibration_support","Age-matched control panel for the A30P comparison; exact figure values require reviewed digitization.","https://pubmed.ncbi.nlm.nih.gov/25113870/","Tuan Le","2026-08-30","Context only."
"aggarwal_2019_pink1rv_male","aggarwal_2019_pink1rv_male","VALIDATION_ONLY","climbing_speed_blu_s","5.16971156","BLU/s","SEM","0.488579077","18","fly","VALIDATION_ONLY","none","Numeric mean and SEM are available in supplementary sd02, but BLU/s is an assay-specific climbing unit and not the current FlyGym planar-speed endpoint.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","Do not convert BLU/s to mm/s."
"aggarwal_2019_pink1rv_female","aggarwal_2019_pink1rv_female","VALIDATION_ONLY","climbing_speed_blu_s","3.830586759","BLU/s","SEM","0.513135727","22","fly","VALIDATION_ONLY","none","Numeric mean and SEM are available in supplementary sd02, but BLU/s is an assay-specific climbing unit and not the current FlyGym planar-speed endpoint.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","Do not convert BLU/s to mm/s."
"aggarwal_2019_park25_lrrkex1_male","aggarwal_2019_park25_lrrkex1_male","VALIDATION_ONLY","climbing_speed_blu_s","3.527946867","BLU/s","SEM","0.526675684","13","fly","VALIDATION_ONLY","none","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","Compound genotype is not a single-gene calibration target."
"aggarwal_2019_park25_lrrkex1_female","aggarwal_2019_park25_lrrkex1_female","VALIDATION_ONLY","climbing_speed_blu_s","2.563034428","BLU/s","SEM","0.239821259","19","fly","VALIDATION_ONLY","none","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","Compound genotype is not a single-gene calibration target."
"aggarwal_2019_park25_w1118_male","aggarwal_2019_park25_w1118_male","VALIDATION_ONLY","climbing_speed_blu_s","5.776343262","BLU/s","SEM","0.571443355","16","fly","VALIDATION_ONLY","none","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","This is a genotype/control context row, not an approved target."
"aggarwal_2019_park25_w1118_female","aggarwal_2019_park25_w1118_female","VALIDATION_ONLY","climbing_speed_blu_s","4.87022503","BLU/s","SEM","0.511864368","16","fly","VALIDATION_ONLY","none","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","This is a genotype/control context row, not an approved target."
"aggarwal_2019_lrrkex1_w1118_male","aggarwal_2019_lrrkex1_w1118_male","VALIDATION_ONLY","climbing_speed_blu_s","3.985477636","BLU/s","SEM","0.429876426","16","fly","VALIDATION_ONLY","none","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","Do not infer a planar walking endpoint."
"aggarwal_2019_lrrkex1_w1118_female","aggarwal_2019_lrrkex1_w1118_female","VALIDATION_ONLY","climbing_speed_blu_s","4.786291565","BLU/s","SEM","1.882396102","18","fly","VALIDATION_ONLY","none","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Tuan Le","2026-08-30","Do not infer a planar walking endpoint."
"kajtor_2025_parkin_ddc","kajtor_2025_parkin_ddc","PENDING_HUMAN_SIGNOFF","pre_stimulus_walking_speed_mm_s","","mm/s","NOT_REPORTED","","78","fly","TRANSFER_REVIEW_REQUIRED","validation_candidate","The article reports a 0.2-second pre-threat speed window and cohort counts, but exact numeric distribution summaries require the linked large raw-data archive.","https://pmc.ncbi.nlm.nih.gov/articles/PMC12306971/","Tuan Le","2026-08-30","Do not download multi-gigabyte archive automatically; keep source and data DOI for human data-management decision."
"kajtor_2025_alpha_syn_ddc","kajtor_2025_alpha_syn_ddc","PENDING_HUMAN_SIGNOFF","pre_stimulus_walking_speed_mm_s","","mm/s","NOT_REPORTED","","69","fly","TRANSFER_REVIEW_REQUIRED","validation_candidate","The article reports a 0.2-second pre-threat speed window and cohort counts, but exact numeric distribution summaries require the linked large raw-data archive.","https://pmc.ncbi.nlm.nih.gov/articles/PMC12306971/","Tuan Le","2026-08-30","Raw data link is public but not imported because the archive is multi-gigabyte."
"kajtor_2025_parkin_np6510","kajtor_2025_parkin_np6510","PENDING_HUMAN_SIGNOFF","pre_stimulus_walking_speed_mm_s","","mm/s","NOT_REPORTED","","170","fly","TRANSFER_REVIEW_REQUIRED","validation_candidate","The paper reports a percentage speed decrease for this cohort, but not a directly reusable mean plus uncertainty in the reviewed article text.","https://elifesciences.org/articles/90905","Tuan Le","2026-08-30","Percentage effects do not replace a numeric target with uncertainty."
"kajtor_2025_alpha_syn_np6510","kajtor_2025_alpha_syn_np6510","PENDING_HUMAN_SIGNOFF","pre_stimulus_walking_speed_mm_s","","mm/s","NOT_REPORTED","","181","fly","TRANSFER_REVIEW_REQUIRED","validation_candidate","The paper reports threat-response behavior and cohort counts, but the reviewed article text does not provide a reusable numeric speed uncertainty.","https://elifesciences.org/articles/90905","Tuan Le","2026-08-30","Useful validation context for freezing/reactivity, not current calibration."
"bridi_2021_alpha_syn_day3","bridi_2021_alpha_syn_day3","PENDING_HUMAN_SIGNOFF","active_speed_mm_s","","mm/s","NOT_REPORTED","","not_reported","fly","TRANSFER_REVIEW_REQUIRED","validation_candidate","The paper reports active speed at day 3, but the exact numeric value and uncertainty were not available in the reviewed text.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8111063/","Tuan Le","2026-08-30","Needs figure/supplementary extraction before any target decision."
"bridi_2021_alpha_syn_day20","bridi_2021_alpha_syn_day20","PENDING_HUMAN_SIGNOFF","active_speed_mm_s","","mm/s","NOT_REPORTED","","not_reported","fly","TRANSFER_REVIEW_REQUIRED","validation_candidate","The paper reports active speed at day 20, but the exact numeric value and uncertainty were not available in the reviewed text.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8111063/","Tuan Le","2026-08-30","Needs figure/supplementary extraction before any target decision."
"cackett_2017_pink1_parkin_activity","cackett_2017_pink1_parkin_activity","VALIDATION_ONLY","DAM_activity","","activity_units","SEM","","7","experiment","VALIDATION_ONLY","none","DAM activity is reported with mean/SEM and experiment count, but is not the current FlyGym walking-speed or distance endpoint.","https://pmc.ncbi.nlm.nih.gov/articles/PMC5469398/","Tuan Le","2026-08-30","Retain as activity validation evidence only."
"larval_asyn_2017_a53t_control","larval_asyn_2017_a53t_control","EXCLUDED_OUT_OF_SCOPE","crawling_speed_mm_min","43.3","mm/min","SEM","2.64","6","larva","NOT_COMPARABLE","none","Numeric value is from larval crawling and is not adult FlyGym locomotion; it is retained for scope audit only.","https://pmc.ncbi.nlm.nih.gov/articles/PMC5403912/","Tuan Le","2026-08-30","Do not mix larval crawling with adult walking calibration."
"larval_asyn_2017_a53t_drug_100","larval_asyn_2017_a53t_drug_100","EXCLUDED_OUT_OF_SCOPE","crawling_speed_mm_min","83.4","mm/min","SEM","4.13","18","larva","NOT_COMPARABLE","none","Drug-treatment larval speed is not an untreated adult disease baseline and is outside the current calibration scope.","https://pmc.ncbi.nlm.nih.gov/articles/PMC7492844/","Tuan Le","2026-08-30","Drug context is not a target for this project."
"larval_asyn_2017_a53t_drug_1000","larval_asyn_2017_a53t_drug_1000","EXCLUDED_OUT_OF_SCOPE","crawling_speed_mm_min","78.8","mm/min","SEM","6.73","6","larva","NOT_COMPARABLE","none","Drug-treatment larval speed is not an untreated adult disease baseline and is outside the current calibration scope.","https://pmc.ncbi.nlm.nih.gov/articles/PMC7492844/","Tuan Le","2026-08-30","Drug context is not a target for this project."
"gba_asyn_2018_climbing","gba_asyn_2018_climbing","VALIDATION_ONLY","climbing_score","","percent","SEM","","not_reported","fly","VALIDATION_ONLY","none","The study provides climbing/activity phenotype context but no currently transferable adult planar-speed target in the reviewed material.","https://pmc.ncbi.nlm.nih.gov/articles/PMC5820349/","Tuan Le","2026-08-30","No conversion to walking speed."
"parkin_2012_larval_velocity","parkin_2012_larval_velocity","EXCLUDED_OUT_OF_SCOPE","larval_velocity","","relative_to_control","NOT_REPORTED","","not_reported","larva","NOT_COMPARABLE","none","The source reports a relative locomotor defect without a reusable mean and uncertainty; the assay is larval rather than adult FlyGym walking.","https://pmc.ncbi.nlm.nih.gov/articles/PMC3313793/","Tuan Le","2026-08-30","Context only; no numeric target extracted."
"asyn_2012_climbing_assay","asyn_2012_climbing_assay","VALIDATION_ONLY","climbing_score","","percent","NOT_REPORTED","","not_reported","fly","VALIDATION_ONLY","none","Climbing assay is relevant to motor phenotype but no approved transfer to current FlyGym planar locomotion is available.","https://pmc.ncbi.nlm.nih.gov/articles/PMC3410351/","Tuan Le","2026-08-30","Do not convert climbing to speed."
