"record_id","paper_id","priority","gene_model","genotype","age_days","sex","assay","metric","value","unit","statistic","uncertainty_type","uncertainty","sample_size","sample_unit","unit_of_analysis","figure_table","doi_pmid","assay_transfer_to_flygym","allocation","decision","root_id_mapping_decision","reviewer","review_date","provenance","notes"
"aggarwal_2019_assay_method","aggarwal_2019_pd_locomotor_assay","method_context_only","parkin_or_pink1_heterozygous_context","heterozygous PD-model mutants described in paper","","not_reviewed_for_target","Automated climbing behavior assay","climbing_behavior_parameters","","study_specific","","","","","","","not_target","not_recorded","METHOD_CONTEXT_ONLY","","VALIDATION_ONLY","NOT_MAPPABLE_FROM_ASSAY_METHOD","Tuan Le","2026-08-30","PDF abstract describes a high-parametric-resolution climbing assay for PD-model heterozygous mutants.","Useful for future climbing-assay design, not current speed/distance calibration."
"cha_2005_parkin_locomotion","cha_2005_parkin_jnk_dopaminergic","biological_context_only","parkin","parkin loss-of-function mutant","","not_reviewed_for_target","Locomotion/behavioral defect reported","locomotor_impairment","","qualitative","","","","","","","not_target","not_recorded","VALIDATION_ONLY","","VALIDATION_ONLY","WAITING_REVIEWED_ROOT_ID_MAPPING; dopaminergic neuron claim not a reviewed FlyWire root-ID set","Tuan Le","2026-08-30","PDF abstract reports parkin loss-of-function mutants have impaired locomotion and dopaminergic neuron phenotype partially restored by L-DOPA.","No numeric target extracted in this task."
"haywood_2004_parkin_alpha_syn_climbing","haywood_2004_parkin_alpha_synuclein_climbing","validation_only","alpha_synuclein_parkin_interaction","human alpha-synuclein with parkin co-expression context","","not_reviewed_for_target","Climbing ability","climbing_score","","study_specific","","","","","","","not_target","not_recorded","VALIDATION_ONLY","","VALIDATION_ONLY","NOT_MAPPABLE_FROM_PAPER","Tuan Le","2026-08-30","PDF abstract reports parkin co-expression suppresses alpha-synuclein-induced premature loss of climbing ability.","Rescue/interaction context; not current calibration target."
"liu_2008_lrrk2_locomotor_dysfunction","liu_2008_lrrk2_parkinsonism","validation_only","lrrk2","neuronal human LRRK2 or LRRK2-G2019S expression","","not_reviewed_for_target","Locomotor dysfunction / climbing context","locomotor_impairment","","qualitative","","","","","","","not_target","not_recorded","VALIDATION_ONLY","","VALIDATION_ONLY","WAITING_REVIEWED_ROOT_ID_MAPPING","Tuan Le","2026-08-30","PDF abstract reports neuronal LRRK2/LRRK2-G2019S expression produced adult-onset DA neuron loss, locomotor dysfunction, and early mortality; L-DOPA improved impairment.","Useful LRRK2 validation context; no numeric target extracted."
"poddighe_2014_pink1b9_climbing","poddighe_2014_pink1b9_climbing","validation_only","pink1","PINK1B9","3-6;10-15;20-25","not_reviewed_for_target","Climbing behavior","climbing_score","","study_specific","","","","","","","not_target","not_recorded","VALIDATION_ONLY","","VALIDATION_ONLY","MODEL_SCOPE_NOT_CELL_SPECIFIC","Tuan Le","2026-08-30","PDF abstract reports PINK1B9 flies assayed at 3-6, 10-15, and 20-25 days; Mucuna pruriens improved climbing behavior of all ages.","Strong age-bin validation context for future climbing endpoint, not current speed/distance calibration."
"riemensperger_2013_alpha_syn_progression","riemensperger_2013_alpha_synuclein_progression","validation_only","human_alpha_synuclein","alpha-synuclein expression in Drosophila neurons","","not_reviewed_for_target","Negative geotaxis / progressive locomotor deficits","climbing_impairment","","qualitative","","","","","","","not_target","not_recorded","VALIDATION_ONLY","","VALIDATION_ONLY","WAITING_REVIEWED_ROOT_ID_MAPPING; specific 15-neuron pathway is not yet encoded as approved intervention mapping","Tuan Le","2026-08-30","PDF abstract reports alpha-synuclein expression induces progressive locomotor deficits and identifies a dopaminergic pathway linked to climbing impairments.","Useful pathway/validation context; no numeric calibration target extracted."
"neuromechfly_v2_2024_methods","neuromechfly_v2_2024","simulation_method_context_only","simulation_framework","","","","Neuromechanical simulation framework","not_literature_phenotype_target","","","","","","","","","","10.1038/s41592-024-02497-y","METHOD_CONTEXT_ONLY","","NOT_A_CALIBRATION_TARGET","NOT_APPLICABLE","Tuan Le","2026-08-30","PDF abstract describes NeuroMechFly v2 simulation framework enabling vision, olfaction, ascending feedback, terrains, and leg adhesion.","Framework reference only."
"pugliese_2025_cpg_preprint_methods","pugliese_2025_fly_cpg_preprint","simulation_method_context_only","walking_cpg_circuit","","","","Connectome simulation / CPG circuit identification","not_literature_phenotype_target","","","","","","","","","","not_recorded","METHOD_CONTEXT_ONLY","","NOT_A_CALIBRATION_TARGET","NOT_APPLICABLE","Tuan Le","2026-08-30","PDF abstract describes dynamic simulations of Drosophila VNC connectomes identifying putative CPG circuitry for walking.","Mechanistic/simulation context only."
"liessem_2026_dopameander_walking_direction","liessem_2026_walking_direction_dopamine","post_cutoff_context_only","dopaminergic_walking_direction_control","DopaMeander/MDN neural manipulation context","","not_reviewed_for_target","Walking direction / neural control","walking_direction","","","","","","","","","","10.1016/j.cub.2026.06.045","METHOD_CONTEXT_ONLY","","NOT_A_CALIBRATION_TARGET","PENDING_SOURCE_REVIEW","Tuan Le","2026-08-30","PDF summary/highlights describe DopaMeander promotes forward walking and ipsiversive turning; not a PD phenotype target.","Current/publication-status context only; not used for target approval."
"expanded_001_pokrzywa_2017_alpha_syn_flytracker","pokrzywa_2017_alpha_syn_flytracker","calibration_candidate","human_alpha_synuclein","not_extracted_in_expanded_survey_schema","21","female","FlyTracker locomotion tracking in vials","mean_planar_speed_mm_s","2.5","mm/s","mean","SE","","3-10 independent vials","independent_vial","independent_vial","see_expanded_survey_source_record","10.1371/journal.pone.0184117","TRANSFER_REVIEW_REQUIRED","calibration_candidate","PENDING_HUMAN_SIGNOFF","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184117","Figure 2A reports mean velocity and plus/minus SE; S6 contains p-values but no numeric SE for the day-21 bar. Exact independent-vial count at day 21 is not available. Do not infer SE from pixels or coerce 3-10 vials into fly count. Public S6 supplementary PDF reviewed."
"expanded_002_pokrzywa_2017_alpha_syn_control","pokrzywa_2017_alpha_syn_control","calibration_support","control","not_extracted_in_expanded_survey_schema","21","female","FlyTracker locomotion tracking in vials","mean_planar_speed_mm_s","5.0","mm/s","mean","SE","","3-10 independent vials","independent_vial","independent_vial","see_expanded_survey_source_record","10.1371/journal.pone.0184117","TRANSFER_REVIEW_REQUIRED","calibration_support","PENDING_HUMAN_SIGNOFF","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184117","Paired control value described in the Results; numeric SE and exact day-21 unit of analysis remain unavailable. Control row is retained for within-paper context and is not an approved target."
"expanded_003_pozo_2022_pink1_distance","pozo_2022_pink1_distance","holdout_candidate","pink1","not_extracted_in_expanded_survey_schema","28","not_reported_in_extracted_section","Open-field locomotor tracking","distance_traveled_mm","62.091","mm","not_reported","IQR_with_min_max_ranges_reported","61.288","21","fly","fly","see_expanded_survey_source_record","10.3390/cells11091544; PMID:35563850","TRANSFER_REVIEW_REQUIRED","holdout_candidate","PENDING_HUMAN_SIGNOFF","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://www.mdpi.com/2073-4409/11/9/1544","Figure 3B reports a center with interquartile range and maximum/minimum ranges. Distance must not be converted to speed. Potential holdout only after explicit distance-endpoint and assay-transfer signoff."
"expanded_004_pozo_2022_pink1_control_distance","pozo_2022_pink1_control_distance","holdout_support","control_for_pink1","not_extracted_in_expanded_survey_schema","28","not_reported_in_extracted_section","Open-field locomotor tracking","distance_traveled_mm","323.326","mm","not_reported","IQR_with_min_max_ranges_reported","236.209","20","fly","fly","see_expanded_survey_source_record","10.3390/cells11091544; PMID:35563850","NOT_COMPARABLE","holdout_support","CONTEXT_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://www.mdpi.com/2073-4409/11/9/1544","Control cohort for the Pink1B9 distance comparison; retained to define the paired contrast. Not a standalone target."
"expanded_005_riemensperger_2011_dopamine_deficiency","riemensperger_2011_dopamine_deficiency","none","dopamine_deficiency","not_extracted_in_expanded_survey_schema","2-5","female","Spontaneous walking in an open arena","median_planar_speed_mm_s","7.8","mm/s","median","NOT_REPORTED","","13","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1010930108; PMID:21187381","TRANSFER_REVIEW_REQUIRED","none","PENDING_HUMAN_SIGNOFF","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC3048124/","The paper reports a median speed but no compatible numeric IQR or range in the reviewed material. Median cannot be relabeled as mean. Dopamine deficiency is class-level context, not a gene-specific root-ID mapping."
"expanded_006_hwang_2013_dj1_climbing","hwang_2013_dj1_climbing","none","dj1","not_extracted_in_expanded_survey_schema","5","male","Negative geotaxis climbing assay","climbing_score","","percent","mean","SE","","12","fly","fly","see_expanded_survey_source_record","10.1371/journal.pgen.1003412; PMID:23593018","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003412","Figure 5E reports mean plus/minus s.e. and n at least 12, but the exact bar center is not available as a machine-readable value and climbing is not an implemented FlyGym endpoint. Do not convert climbing score to walking speed."
"expanded_007_godena_2014_lrrk2_r1441c_climbing","godena_2014_lrrk2_r1441c_climbing","none","lrrk2","not_extracted_in_expanded_survey_schema","6-7","not_reported","Climbing and flight assay","climbing_score","","study_specific_score","mean","SEM","","43","animal","not_reported","see_expanded_survey_source_record","10.1038/ncomms6245","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://www.nature.com/articles/ncomms6245","LRRK2-R1441C motor-neuron expression is associated with reduced climbing/flight; current repository has no approved climbing endpoint or VNC root-ID scope. Retain as validation evidence only."
"expanded_008_godena_2014_lrrk2_y1699c_climbing","godena_2014_lrrk2_y1699c_climbing","none","lrrk2","not_extracted_in_expanded_survey_schema","6-7","not_reported","Climbing and flight assay","climbing_score","","study_specific_score","mean","SEM","","59","animal","not_reported","see_expanded_survey_source_record","10.1038/ncomms6245","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://www.nature.com/articles/ncomms6245","LRRK2-Y1699C motor-neuron expression is associated with reduced climbing/flight; current repository has no approved climbing endpoint or VNC root-ID scope. Retain as validation evidence only."
"expanded_009_dumitrescu_2023_parkin_activity_day1","dumitrescu_2023_parkin_activity_day1","none","parkin","not_extracted_in_expanded_survey_schema","1","male","Drosophila Activity Monitor infrared beam-break","DAM_activity","30","percent_reduction_vs_control","not_reported","NOT_REPORTED","","29","fly","fly","see_expanded_survey_source_record","10.1021/acschemneuro.2c00277; PMID:36576890","NOT_COMPARABLE","none","NOT_COMPARABLE","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pubmed.ncbi.nlm.nih.gov/36576890/","DAM beam-break activity is not planar walking speed and cannot be converted without an approved transfer model. Retain as age-dependent activity context."
"expanded_010_dumitrescu_2023_parkin_activity_day45","dumitrescu_2023_parkin_activity_day45","none","parkin","not_extracted_in_expanded_survey_schema","45","male","Drosophila Activity Monitor infrared beam-break","DAM_activity","85","percent_reduction_vs_control","not_reported","NOT_REPORTED","","52","fly","fly","see_expanded_survey_source_record","10.1021/acschemneuro.2c00277; PMID:36576890","NOT_COMPARABLE","none","NOT_COMPARABLE","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pubmed.ncbi.nlm.nih.gov/36576890/","DAM beam-break activity is not planar walking speed and cannot be converted without an approved transfer model. Retain as age-dependent activity context."
"expanded_011_chen_2014_asyn_a30p_day15","chen_2014_asyn_a30p_day15","calibration_candidate","human_alpha_synuclein","not_extracted_in_expanded_survey_schema","15","male","Horizontal open-field walking tracked at 17 fps","mean_walking_velocity_cm_s","","cm/s","mean","CI95","","23","fly","fly","see_expanded_survey_source_record","10.1111/gbb.12172; PMID:25113870","TRANSFER_REVIEW_REQUIRED","calibration_candidate","PENDING_HUMAN_SIGNOFF","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/","Figure 4 contains quantitative walking velocity and reports mean plus/minus 95 percent confidence interval, but exact bar values are figure-only and have not been digitized and second-reviewed. Potentially strong adult walking candidate. Do not enter a numeric value or convert cm/s until documented digitization and unit-transfer review."
"expanded_012_chen_2014_asyn_a30p_day30","chen_2014_asyn_a30p_day30","calibration_candidate","human_alpha_synuclein","not_extracted_in_expanded_survey_schema","30","male","Horizontal open-field walking tracked at 17 fps","mean_walking_velocity_cm_s","","cm/s","mean","CI95","","20","fly","fly","see_expanded_survey_source_record","10.1111/gbb.12172; PMID:25113870","TRANSFER_REVIEW_REQUIRED","calibration_candidate","PENDING_HUMAN_SIGNOFF","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/","Figure 4 contains quantitative walking velocity and reports mean plus/minus 95 percent confidence interval, but exact bar values are figure-only and have not been digitized and second-reviewed. Old A30P phenotype is relevant to walking, but no numeric target is entered without reviewed digitization."
"expanded_013_chen_2014_control_day15","chen_2014_control_day15","calibration_support","control","not_extracted_in_expanded_survey_schema","15","male","Horizontal open-field walking tracked at 17 fps","mean_walking_velocity_cm_s","","cm/s","mean","CI95","","23","fly","fly","see_expanded_survey_source_record","10.1111/gbb.12172; PMID:25113870","NOT_COMPARABLE","calibration_support","CONTEXT_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC4262005/","Age-matched control panel for the A30P comparison; exact figure values require reviewed digitization. Context only."
"expanded_014_chen_2014_control_day30","chen_2014_control_day30","calibration_support","control","not_extracted_in_expanded_survey_schema","30","male","Horizontal open-field walking tracked at 17 fps","mean_walking_velocity_cm_s","","cm/s","mean","CI95","","20","fly","fly","see_expanded_survey_source_record","10.1111/gbb.12172; PMID:25113870","NOT_COMPARABLE","calibration_support","CONTEXT_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pubmed.ncbi.nlm.nih.gov/25113870/","Age-matched control panel for the A30P comparison; exact figure values require reviewed digitization. Context only."
"expanded_015_aggarwal_2019_pink1rv_male","aggarwal_2019_pink1rv_male","none","pink1","not_extracted_in_expanded_survey_schema","not_reported","male","Automated vertical climbing assay","climbing_speed_blu_s","5.16971156","BLU/s","mean","SEM","0.488579077","18","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Numeric mean and SEM are available in supplementary sd02, but BLU/s is an assay-specific climbing unit and not the current FlyGym planar-speed endpoint. Do not convert BLU/s to mm/s."
"expanded_016_aggarwal_2019_pink1rv_female","aggarwal_2019_pink1rv_female","none","pink1","not_extracted_in_expanded_survey_schema","not_reported","female","Automated vertical climbing assay","climbing_speed_blu_s","3.830586759","BLU/s","mean","SEM","0.513135727","22","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Numeric mean and SEM are available in supplementary sd02, but BLU/s is an assay-specific climbing unit and not the current FlyGym planar-speed endpoint. Do not convert BLU/s to mm/s."
"expanded_017_aggarwal_2019_park25_lrrkex1_male","aggarwal_2019_park25_lrrkex1_male","none","parkin_lrrk2","not_extracted_in_expanded_survey_schema","not_reported","male","Automated vertical climbing assay","climbing_speed_blu_s","3.527946867","BLU/s","mean","SEM","0.526675684","13","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s. Compound genotype is not a single-gene calibration target."
"expanded_018_aggarwal_2019_park25_lrrkex1_female","aggarwal_2019_park25_lrrkex1_female","none","parkin_lrrk2","not_extracted_in_expanded_survey_schema","not_reported","female","Automated vertical climbing assay","climbing_speed_blu_s","2.563034428","BLU/s","mean","SEM","0.239821259","19","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s. Compound genotype is not a single-gene calibration target."
"expanded_019_aggarwal_2019_park25_w1118_male","aggarwal_2019_park25_w1118_male","none","parkin","not_extracted_in_expanded_survey_schema","not_reported","male","Automated vertical climbing assay","climbing_speed_blu_s","5.776343262","BLU/s","mean","SEM","0.571443355","16","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s. This is a genotype/control context row, not an approved target."
"expanded_020_aggarwal_2019_park25_w1118_female","aggarwal_2019_park25_w1118_female","none","parkin","not_extracted_in_expanded_survey_schema","not_reported","female","Automated vertical climbing assay","climbing_speed_blu_s","4.87022503","BLU/s","mean","SEM","0.511864368","16","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s. This is a genotype/control context row, not an approved target."
"expanded_021_aggarwal_2019_lrrkex1_w1118_male","aggarwal_2019_lrrkex1_w1118_male","none","lrrk2","not_extracted_in_expanded_survey_schema","not_reported","male","Automated vertical climbing assay","climbing_speed_blu_s","3.985477636","BLU/s","mean","SEM","0.429876426","16","fly","fly","see_expanded_survey_source_record","10.1073/pnas.1807456116; PMID:31748267","VALIDATION_ONLY","none","VALIDATION_ONLY","NOT_ASSESSED_IN_EXPANDED_SURVEY","Tuan Le","2026-08-30","https://pmc.ncbi.nlm.nih.gov/articles/PMC6900508/","Exact supplementary mean and SEM are available, but the assay is vertical climbing and the unit is BLU/s. Do not infer a planar walking endpoint."
